"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R11,R12";"res1206";2;"200kOhms";;;
2;"R3,R1,R2";"res1206";3;"2.87kOhms";;;
3;"D1,D2";"D_SOD-123";2;"Schtokky";;;
4;"C7";"cap1206";1;"22uF";;;
5;"R7,R19,R8,R9";"res1206";4;"10kOhms";;;
6;"P1";"PinHeader_1x02_P2.54mm_Vertical";1;"~";;;
7;"P3,P4,P2";"twopad";3;"~";;;
8;"C11,C13,C5,C10";"cap1206";4;"4.7uF";;;
9;"R6,R5,R4";"res1206";3;"400mOhms";;;
10;"C6";"cap1206";1;"3.3pF";;;
11;"C2,C1,C3";"cap1206";3;"10uF";;;
12;"J1";"MOLEX_1050170001";1;"1050170001";;;
13;"U2,U3,U1";"IC_XTR111AIDGQRG4";3;"DRV8832DGQR";;;
14;"R10";"res1206";1;"620kOhms";;;
15;"U7";"XCVR_ESP32S3WROOM1N8R8";1;"ESP32-S3-WROOM-1-N4";;;
16;"R13";"res1206";1;"330kOhms";;;
17;"U4,U5";"PinSocket_1x08_P2.54mm_Vertical";2;"~";;;
18;"S2,S1";"SW_SKQGAFE010";2;"SKQGAFE010";;;
19;"L1";"IND_SRR1240-100M";1;"3.3uH";;;
20;"C4,C9";"cap1206";2;".1uF";;;
21;"C8";"cap1206";1;"1uF";;;
22;"U9,U6";"SOT95P280X145-5N";2;"TPS61040DBVRG4";;;
23;"L2";"IND_SRR1240-100M";1;"10uH";;;
